time,TEMP_DAILY_MIN,TEMP_DAILY_MAX,PRECIP
1950-09-05 00:00:00,11.33248589,30.22519769,0.0
1950-09-06 00:00:00,12.46440679,31.15192084,0.0
1950-09-07 00:00:00,10.49548024,31.35203387,0.01689266
1950-09-08 00:00:00,9.14655367,27.55655368,0.57502826
1950-09-09 00:00:00,9.08881359,23.68604523,6.42598868
1950-09-10 00:00:00,7.91542373,19.29802264,11.78898303
1950-09-11 00:00:00,5.64423729,12.39689266,1.05423728
1950-09-12 00:00:00,5.51706214,13.0612994,0.24327684
1950-09-13 00:00:00,1.70966102,17.46327686,0.09372881
1950-09-14 00:00:00,1.71937853,20.5707345,1.61457625
1950-09-15 00:00:00,8.62977403,17.99011302,6.25067798
1950-09-16 00:00:00,9.88186438,16.72169486,3.31039549
1950-09-17 00:00:00,9.43016947,19.88186445,6.31158189
1950-09-18 00:00:00,10.43717513,21.81214687,4.72723166
1950-09-19 00:00:00,6.29322036,22.2914125,1.26700565
1950-09-20 00:00:00,9.71355931,19.60158191,0.7540678
1950-09-21 00:00:00,5.16497174,18.16796604,0.47146893
1950-09-22 00:00:00,6.14548024,23.22344639,0.0019774
1950-09-23 00:00:00,3.74050846,21.77401132,0.0
1950-09-24 00:00:00,4.93429379,23.99514119,0.0
1950-09-25 00:00:00,8.43983052,27.49774009,0.05158192
1950-09-26 00:00:00,11.93265538,26.09446331,0.88988701
1950-09-27 00:00:00,9.25050848,22.17209039,1.51536723
1950-09-28 00:00:00,2.78276836,18.68627121,0.59677967
1950-09-29 00:00:00,4.14853107,14.6284181,1.87966101
1950-09-30 00:00:00,3.68158192,9.69762713,3.93706215
1950-10-01 00:00:00,2.55050848,6.67333333,5.51774012
1950-10-02 00:00:00,-1.16118644,5.48152542,6.54033898
1950-10-03 00:00:00,-3.69050847,6.32129945,0.02519774
1950-10-04 00:00:00,-3.74915255,11.56824858,0.00564972
1950-10-05 00:00:00,2.33242938,17.4258192,0.10694915
1950-10-06 00:00:00,5.10717513,17.85802262,0.76163842
1950-10-07 00:00:00,2.77237288,12.42378529,0.50694915
1950-10-08 00:00:00,3.02655367,11.19881356,0.08299435
1950-10-09 00:00:00,3.09638418,19.25028253,0.0220339
1950-10-10 00:00:00,0.58389831,17.68672321,0.0
1950-10-11 00:00:00,5.08338985,18.76124294,0.0
1950-10-12 00:00:00,0.48638418,20.17022593,0.01028249
1950-10-13 00:00:00,3.83887006,22.26988699,0.01751412
1950-10-14 00:00:00,2.53491526,18.49096038,0.03881356
1950-10-15 00:00:00,4.00836158,21.04655375,0.0
1950-10-16 00:00:00,2.86525424,18.21096044,0.0
1950-10-17 00:00:00,0.27084746,19.47632768,0.00661017
1950-10-18 00:00:00,3.92050849,18.95299434,0.06288136
1950-10-19 00:00:00,1.75734463,14.46836159,0.01022599
1950-10-20 00:00:00,1.66056497,19.25457633,0.03344633
1950-10-21 00:00:00,0.44090396,13.72327683,0.71757062
1950-10-22 00:00:00,-1.7661017,5.54265538,1.27774011
1950-10-23 00:00:00,-2.50039548,9.12841808,0.00689266
1950-10-24 00:00:00,-1.97135593,9.22920902,0.0
1950-10-25 00:00:00,-4.46683616,13.95384179,0.0
1950-10-26 00:00:00,0.69463277,19.83118653,0.0
1950-10-27 00:00:00,-1.6878531,19.49830513,0.04836158
1950-10-28 00:00:00,3.65322033,19.65423732,0.05457627
1950-10-29 00:00:00,1.83870057,24.47316383,0.0
1950-10-30 00:00:00,2.11435028,26.69937849,0.0
1950-10-31 00:00:00,4.84536722,20.2411299,0.00898305
1950-11-01 00:00:00,-0.75988701,13.90740113,0.23237288
1950-11-02 00:00:00,-3.32847459,6.55389831,0.27361582
1950-11-03 00:00:00,-4.8319209,6.44672316,0.01435028
1950-11-04 00:00:00,-6.61124292,10.28090396,0.0
1950-11-05 00:00:00,-1.07225988,17.58768365,0.02762712
1950-11-06 00:00:00,-0.41141243,11.24265535,0.13350282
1950-11-07 00:00:00,-4.90146895,7.69039551,0.49067797
1950-11-08 00:00:00,-5.59242936,5.67621469,1.88451977
1950-11-09 00:00:00,-10.81067794,-4.11638418,0.60920903
1950-11-10 00:00:00,-19.07406783,-8.39531072,0.00717514
1950-11-11 00:00:00,-19.41186442,-7.77135595,0.0
1950-11-12 00:00:00,-16.45282482,-3.65451977,0.0039548
1950-11-13 00:00:00,-13.34372881,4.10740112,0.0
1950-11-14 00:00:00,-5.31310736,8.79983051,0.52988701
1950-11-15 00:00:00,-5.09271188,6.7934463,1.98508476
1950-11-16 00:00:00,-9.09768362,0.62632768,0.54497175
1950-11-17 00:00:00,-8.45937852,5.44672315,0.06581921
1950-11-18 00:00:00,-9.56096042,1.91440679,0.94960452
1950-11-19 00:00:00,-19.30412431,-6.07864408,0.75050848
1950-11-20 00:00:00,-21.17050847,-2.80022599,0.0080226
1950-11-21 00:00:00,-13.8138418,-0.28022599,0.22474576
1950-11-22 00:00:00,-13.74446326,1.66135593,1.77491524
1950-11-23 00:00:00,-24.3841243,-9.22819209,1.61372883
1950-11-24 00:00:00,-23.35005649,-11.90751414,0.0
